time,utterance
20230124-130212,i want to teach you how to help me with my morning routine
20230124-130243,can you pick up the bottle for me please
20230124-130333,now can you take it to the bedroom
20230124-130438,hand me the bottle please
20230124-130500,ok i am done teaching you
20230124-130827,go to the kitchen please
20230124-130928,
20230124-130936,that would be great
20230124-130940,yes please
20230124-131031,
20230124-131037,please do
20230124-131224,
20230124-131232,go ahead
20230124-131308,go to the kitchen
20230124-131433,
20230124-131442,no thanks
20230124-131444,
20230124-131447,no thanks
20230124-131528,whats up doc
